id;matriculaaluno;cpf;nome;sexo;email;cursoaluno
1;58533;Licensed reboot Rand;Kids;Handcrafted Isle applications;Mariela.McCullough@yahoo.com;DE
2;36189;Cotton Fresh digital;Checking;Alabama alliance;Leann94@hotmail.com;INFORMACAO
3;77135;Jersey contingency US;Samoa Designer;world-class Gloves;Emerson_Kunze44@gmail.com;INFORMACAO
4;68204;policy;Forint synthesize brand;systems;Keira18@yahoo.com;COMPUTACAO
5;68471;parsing intermediate;maroon well-modulated;copy convergence protocol;Tony_Shanahan28@yahoo.com;COMPUTACAO
6;52270;users;calculating 24/365 Hat;hacking;Flo57@gmail.com;COMPUTACAO
7;92277;firewall multi-byte Borders;Expanded technologies;Yen bluetooth;Demetrius.Ziemann71@yahoo.com;INFORMACAO
8;70528;Towels;deposit;sky hacking e-business;Lonny.Tillman@yahoo.com;COMPUTACAO
9;23264;Rand monitor;Gloves Berkshire revolutionary;Rial copy eyeballs;Aubrey.Flatley@hotmail.com;SISTEMAS
10;18299;Unbranded;wireless red;exploit copying Administrator;Oswaldo.Torp@hotmail.com;COMPUTACAO
